id,maeduc,education
1134,16,4 Yrs College
1136,16,4 Yrs College
1137,12,High School
1138,12,High School
1139,16,4 Yrs College
1140,8,<High School
1141,14,Some College
1142,12,High School
1143,16,4 Yrs College
1144,14,Some College
1145,12,High School
1146,12,High School
1147,16,4 Yrs College
1149,9,<High School
1150,8,<High School
1152,12,High School
1154,12,High School
1155,16,4 Yrs College
1156,18,>4 Yrs College
1157,0,<High School
1159,12,High School
1161,12,High School
1162,0,<High School
1164,12,High School
1165,13,Some College
1166,13,Some College
1169,12,High School
1171,12,High School
1172,12,High School
1173,8,<High School
1176,12,High School
1181,12,High School
1183,12,High School
1185,12,High School
1186,18,>4 Yrs College
1187,12,High School
1190,5,<High School
1191,14,Some College
1192,12,High School
1193,16,4 Yrs College
1194,18,>4 Yrs College
1195,20,>4 Yrs College
1196,12,High School
1197,16,4 Yrs College
1198,16,4 Yrs College
1199,16,4 Yrs College
1200,12,High School
1201,12,High School
1203,12,High School
1204,12,High School
1205,12,High School
1206,12,High School
1207,14,Some College
1208,16,4 Yrs College
1209,20,>4 Yrs College
1210,14,Some College
1211,10,<High School
1213,13,Some College
1215,16,4 Yrs College
1216,14,Some College
1217,12,High School
1218,12,High School
1219,14,Some College
1220,16,4 Yrs College
1222,12,High School
1223,16,4 Yrs College
1224,14,Some College
1225,12,High School
1228,4,<High School
1229,12,High School
1230,13,Some College
1231,7,<High School
1232,12,High School
1235,14,Some College
1237,12,High School
1239,11,<High School
1244,6,<High School
1245,13,Some College
1246,12,High School
1247,12,High School
1248,12,High School
1249,15,Some College
1250,14,Some College
1251,14,Some College
1253,12,High School
1254,5,<High School
1255,12,High School
1257,5,<High School
1259,18,>4 Yrs College
1261,16,4 Yrs College
1263,16,4 Yrs College
1265,12,High School
1266,12,High School
1267,12,High School
1268,16,4 Yrs College
1269,10,<High School
1270,15,Some College
1271,12,High School
1272,14,Some College
1273,12,High School
1275,12,High School
1276,16,4 Yrs College
1277,12,High School
1278,12,High School
1279,12,High School
1285,16,4 Yrs College
1287,18,>4 Yrs College
1289,16,4 Yrs College
1290,11,<High School
1291,14,Some College
1292,8,<High School
1294,12,High School
1295,12,High School
1297,14,Some College
1298,12,High School
1299,13,Some College
1304,12,High School
1305,14,Some College
1306,14,Some College
1312,8,<High School
1314,11,<High School
1315,16,4 Yrs College
1316,14,Some College
1317,12,High School
1318,14,Some College
1319,12,High School
1320,16,4 Yrs College
1322,12,High School
1323,12,High School
1324,12,High School
1325,16,4 Yrs College
1326,16,4 Yrs College
1327,12,High School
1328,12,High School
1329,13,Some College
1330,14,Some College
1331,16,4 Yrs College
1332,8,<High School
1333,12,High School
1334,16,4 Yrs College
1336,12,High School
1337,12,High School
1338,12,High School
1340,8,<High School
1342,12,High School
1343,18,>4 Yrs College
1344,12,High School
1345,8,<High School
1346,16,4 Yrs College
1347,10,<High School
1349,10,<High School
1350,12,High School
1351,13,Some College
1355,14,Some College
1356,16,4 Yrs College
1357,12,High School
1358,12,High School
1359,13,Some College
1360,12,High School
1361,16,4 Yrs College
1363,12,High School
1364,12,High School
1365,11,<High School
1367,12,High School
1368,15,Some College
1369,15,Some College
1370,12,High School
1371,14,Some College
1372,18,>4 Yrs College
1373,12,High School
1374,13,Some College
1381,14,Some College
1384,11,<High School
1385,9,<High School
1386,13,Some College
1388,15,Some College
1389,10,<High School
1391,12,High School
1392,5,<High School
1393,10,<High School
1395,12,High School
1396,12,High School
1397,13,Some College
1399,12,High School
1400,16,4 Yrs College
1401,16,4 Yrs College
1402,14,Some College
1403,3,<High School
1405,12,High School
1406,2,<High School
1407,12,High School
1408,7,<High School
1411,12,High School
1413,0,<High School
1414,12,High School
1416,12,High School
1417,12,High School
1418,12,High School
1419,12,High School
1425,12,High School
1426,9,<High School
1427,16,4 Yrs College
1428,12,High School
1429,6,<High School
1430,12,High School
1431,12,High School
1432,0,<High School
1433,12,High School
1434,12,High School
1437,16,4 Yrs College
1438,12,High School
1440,12,High School
1442,12,High School
1444,15,Some College
1445,14,Some College
1447,14,Some College
1448,8,<High School
1449,18,>4 Yrs College
1451,12,High School
1452,16,4 Yrs College
1453,12,High School
1454,12,High School
1455,12,High School
1456,12,High School
1458,16,4 Yrs College
1459,8,<High School
1466,12,High School
1467,12,High School
1468,18,>4 Yrs College
1469,12,High School
1470,12,High School
1472,10,<High School
1474,12,High School
1475,12,High School
1477,4,<High School
1478,12,High School
1479,12,High School
1480,8,<High School
1481,16,4 Yrs College
1482,12,High School
1483,13,Some College
1484,12,High School
1487,12,High School
1489,16,4 Yrs College
1490,12,High School
1491,12,High School
1493,14,Some College
1495,16,4 Yrs College
1496,12,High School
1499,16,4 Yrs College
1502,12,High School
1505,12,High School
1506,11,<High School
1507,12,High School
1508,12,High School
1509,14,Some College
1512,12,High School
1513,14,Some College
1514,12,High School
1516,7,<High School
1517,12,High School
1518,0,<High School
1519,12,High School
1522,13,Some College
1523,12,High School
1524,12,High School
1525,12,High School
1528,14,Some College
1534,13,Some College
1535,12,High School
1537,16,4 Yrs College
1538,12,High School
1539,12,High School
1540,12,High School
1541,0,<High School
1542,20,>4 Yrs College
1543,16,4 Yrs College
1547,16,4 Yrs College
1548,12,High School
1549,8,<High School
1552,15,Some College
1554,12,High School
1555,12,High School
1557,12,High School
1558,12,High School
1560,12,High School
1561,12,High School
1562,12,High School
1563,4,<High School
1564,16,4 Yrs College
1567,12,High School
1568,12,High School
1569,17,>4 Yrs College
1570,9,<High School
1572,11,<High School
1573,9,<High School
1575,20,>4 Yrs College
1577,9,<High School
1580,12,High School
1582,12,High School
1584,16,4 Yrs College
1585,14,Some College
1586,14,Some College
1587,12,High School
1588,12,High School
1590,6,<High School
1591,14,Some College
1592,16,4 Yrs College
1593,12,High School
1594,14,Some College
1596,12,High School
1597,13,Some College
1598,8,<High School
1601,9,<High School
1602,12,High School
1603,12,High School
1604,5,<High School
1606,12,High School
1607,8,<High School
1608,8,<High School
1610,12,High School
1612,9,<High School
1614,12,High School
1616,13,Some College
1617,14,Some College
1618,16,4 Yrs College
1619,12,High School
1620,13,Some College
1624,8,<High School
1625,13,Some College
1626,16,4 Yrs College
1627,12,High School
1628,8,<High School
1631,14,Some College
1632,12,High School
1634,13,Some College
1638,12,High School
1640,7,<High School
1643,12,High School
1646,12,High School
1647,12,High School
1648,15,Some College
1649,12,High School
1650,16,4 Yrs College
1653,12,High School
1657,12,High School
1658,14,Some College
1660,12,High School
1661,12,High School
1662,12,High School
1664,12,High School
1665,12,High School
1669,9,<High School
1671,12,High School
1672,12,High School
1673,12,High School
1675,12,High School
1676,11,<High School
1677,10,<High School
1678,11,<High School
1681,14,Some College
1683,16,4 Yrs College
1684,11,<High School
1685,12,High School
1686,12,High School
1688,20,>4 Yrs College
1689,12,High School
1691,18,>4 Yrs College
1692,20,>4 Yrs College
1694,12,High School
1695,14,Some College
1696,12,High School
1697,12,High School
1699,12,High School
1701,12,High School
1702,20,>4 Yrs College
1703,13,Some College
1704,12,High School
1705,11,<High School
1707,10,<High School
1709,11,<High School
1710,10,<High School
1711,12,High School
1712,12,High School
1714,12,High School
1715,12,High School
1716,12,High School
1717,12,High School
1719,14,Some College
1720,11,<High School
1721,12,High School
1722,12,High School
1723,12,High School
1726,12,High School
1727,16,4 Yrs College
1728,12,High School
1729,11,<High School
1731,12,High School
1733,10,<High School
1734,12,High School
1735,12,High School
1736,12,High School
1741,12,High School
1742,12,High School
1743,12,High School
1745,12,High School
1746,12,High School
1747,12,High School
1748,10,<High School
1750,12,High School
1751,12,High School
1752,12,High School
1753,16,4 Yrs College
1754,12,High School
1756,12,High School
1757,12,High School
1758,18,>4 Yrs College
1759,12,High School
1760,12,High School
1761,13,Some College
1762,8,<High School
1764,12,High School
1766,14,Some College
1767,14,Some College
1769,12,High School
1770,18,>4 Yrs College
1771,12,High School
1772,12,High School
1773,10,<High School
1774,12,High School
1776,12,High School
1782,12,High School
1783,12,High School
1784,12,High School
1785,12,High School
1786,14,Some College
1788,12,High School
1789,14,Some College
1790,12,High School
1791,19,>4 Yrs College
1792,4,<High School
1794,13,Some College
1796,12,High School
1797,6,<High School
1798,12,High School
1802,12,High School
1803,8,<High School
1806,8,<High School
1807,9,<High School
1808,12,High School
1809,12,High School
1811,16,4 Yrs College
1812,12,High School
1813,12,High School
1814,12,High School
1815,12,High School
1816,11,<High School
1817,11,<High School
1818,16,4 Yrs College
1819,14,Some College
1822,12,High School
1824,12,High School
1826,14,Some College
1827,12,High School
1829,16,4 Yrs College
1830,8,<High School
1837,16,4 Yrs College
1838,16,4 Yrs College
1840,10,<High School
1841,1,<High School
1842,12,High School
1845,15,Some College
1847,16,4 Yrs College
1848,12,High School
1849,9,<High School
1850,5,<High School
1851,20,>4 Yrs College
1852,12,High School
1853,12,High School
1854,14,Some College
1856,5,<High School
1857,12,High School
1858,13,Some College
1859,12,High School
1860,14,Some College
1861,12,High School
1862,14,Some College
1863,12,High School
1864,20,>4 Yrs College
1865,16,4 Yrs College
1866,12,High School
1867,12,High School
1868,12,High School
1869,20,>4 Yrs College
1871,8,<High School
1872,12,High School
1875,9,<High School
1876,16,4 Yrs College
1877,11,<High School
1878,12,High School
1879,8,<High School
1881,15,Some College
1882,8,<High School
1883,12,High School
1884,18,>4 Yrs College
1885,12,High School
1887,12,High School
1888,12,High School
1889,14,Some College
1890,12,High School
1891,12,High School
1892,12,High School
1894,12,High School
1895,12,High School
1897,16,4 Yrs College
1898,12,High School
1899,12,High School
1901,13,Some College
1903,12,High School
1904,20,>4 Yrs College
1905,12,High School
1908,16,4 Yrs College
1909,14,Some College
1910,16,4 Yrs College
1912,14,Some College
1914,12,High School
1915,12,High School
1916,14,Some College
1918,16,4 Yrs College
1922,14,Some College
1923,12,High School
1924,12,High School
1925,20,>4 Yrs College
1926,12,High School
1929,10,<High School
1932,13,Some College
1933,12,High School
1934,4,<High School
1935,14,Some College
1936,12,High School
1937,18,>4 Yrs College
1938,13,Some College
1939,16,4 Yrs College
1942,7,<High School
1943,18,>4 Yrs College
1946,8,<High School
1947,12,High School
1950,12,High School
1951,14,Some College
1953,16,4 Yrs College
1954,2,<High School
1959,12,High School
1960,12,High School
1961,12,High School
1962,12,High School
1965,12,High School
1966,3,<High School
1967,16,4 Yrs College
1968,12,High School
1969,12,High School
1970,13,Some College
1971,10,<High School
1973,16,4 Yrs College
1976,14,Some College
1978,14,Some College
1979,12,High School
1980,18,>4 Yrs College
1981,8,<High School
1984,14,Some College
1985,12,High School
1986,13,Some College
1988,16,4 Yrs College
1989,15,Some College
1990,16,4 Yrs College
1992,11,<High School
1993,12,High School
1996,12,High School
1998,14,Some College
1999,12,High School
2000,12,High School
2001,12,High School
2003,12,High School
2005,18,>4 Yrs College
2011,12,High School
2012,18,>4 Yrs College
2018,14,Some College
2019,13,Some College
2021,16,4 Yrs College
2022,8,<High School
2023,12,High School
2027,12,High School
2028,10,<High School
2029,14,Some College
2030,14,Some College
2031,12,High School
2034,16,4 Yrs College
2035,10,<High School
2036,12,High School
2037,12,High School
2038,16,4 Yrs College
2039,12,High School
2040,12,High School
2048,12,High School
2049,12,High School
2050,16,4 Yrs College
2053,16,4 Yrs College
2057,9,<High School
2058,16,4 Yrs College
2067,12,High School
2069,12,High School
2070,12,High School
2071,12,High School
2072,12,High School
2074,13,Some College
2076,12,High School
2077,8,<High School
2079,12,High School
2080,12,High School
2082,5,<High School
2084,12,High School
2087,7,<High School
2089,14,Some College
2091,10,<High School
2092,14,Some College
2094,12,High School
2095,10,<High School
2097,12,High School
2098,10,<High School
2100,12,High School
2101,8,<High School
2108,12,High School
2109,13,Some College
2110,12,High School
2111,12,High School
2112,11,<High School
2113,12,High School
2114,12,High School
2115,10,<High School
2118,20,>4 Yrs College
2120,16,4 Yrs College
2121,18,>4 Yrs College
2122,12,High School
2123,12,High School
2124,14,Some College
2125,8,<High School
2126,15,Some College
2127,12,High School
2129,18,>4 Yrs College
2131,12,High School
2132,5,<High School
2134,14,Some College
2135,14,Some College
2141,8,<High School
2142,16,4 Yrs College
2143,16,4 Yrs College
2144,13,Some College
2148,12,High School
2150,10,<High School
2151,16,4 Yrs College
2152,12,High School
2153,12,High School
2154,16,4 Yrs College
2156,12,High School
2157,12,High School
2158,12,High School
2159,12,High School
2160,12,High School
2161,16,4 Yrs College
2162,16,4 Yrs College
2163,9,<High School
2164,12,High School
2165,13,Some College
2166,12,High School
2169,12,High School
2170,2,<High School
2172,12,High School
2173,14,Some College
2175,16,4 Yrs College
2176,12,High School
2177,12,High School
2178,12,High School
2179,7,<High School
2183,6,<High School
2184,12,High School
2186,12,High School
2187,6,<High School
2191,5,<High School
2194,15,Some College
2195,13,Some College
2197,6,<High School
2198,12,High School
2201,7,<High School
2202,12,High School
2204,12,High School
2205,16,4 Yrs College
2207,14,Some College
2209,14,Some College
2210,12,High School
2212,10,<High School
2215,6,<High School
2217,12,High School
2220,12,High School
2221,0,<High School
2222,16,4 Yrs College
2223,12,High School
2224,14,Some College
2225,16,4 Yrs College
2228,6,<High School
2231,6,<High School
2232,12,High School
2233,16,4 Yrs College
2234,12,High School
2236,11,<High School
2237,5,<High School
2238,16,4 Yrs College
2239,16,4 Yrs College
2241,1,<High School
2242,12,High School
2243,13,Some College
2244,13,Some College
2246,12,High School
2247,14,Some College
2250,12,High School
2254,12,High School
2256,14,Some College
2259,16,4 Yrs College
2260,16,4 Yrs College
2261,12,High School
2262,16,4 Yrs College
2263,16,4 Yrs College
2264,18,>4 Yrs College
2265,18,>4 Yrs College
2266,12,High School
2267,16,4 Yrs College
2269,12,High School
2270,12,High School
2271,12,High School
2272,12,High School
2274,16,4 Yrs College
2275,12,High School
2276,16,4 Yrs College
2277,14,Some College
2279,9,<High School
2280,13,Some College
2283,12,High School
2285,12,High School
2286,16,4 Yrs College
2287,16,4 Yrs College
2288,14,Some College
2290,16,4 Yrs College
2292,20,>4 Yrs College
2293,12,High School
2294,16,4 Yrs College
2295,12,High School
2297,10,<High School
2298,16,4 Yrs College
2299,9,<High School
2301,10,<High School
2303,16,4 Yrs College
2306,17,>4 Yrs College
2307,10,<High School
2309,12,High School
2310,14,Some College
2311,14,Some College
2312,12,High School
2313,14,Some College
2314,16,4 Yrs College
2315,12,High School
2316,12,High School
2317,12,High School
2318,13,Some College
2319,14,Some College
2320,15,Some College
2325,18,>4 Yrs College
2327,3,<High School
2330,13,Some College
2331,12,High School
2332,16,4 Yrs College
2337,12,High School
2343,12,High School
2345,7,<High School
2346,9,<High School
2347,15,Some College
2349,10,<High School
2350,12,High School
2351,12,High School
2354,12,High School
2357,15,Some College
2358,9,<High School
2360,12,High School
2363,0,<High School
2364,5,<High School
2366,12,High School
2369,14,Some College
2371,12,High School
2374,17,>4 Yrs College
2375,14,Some College
2379,13,Some College
2381,12,High School
2382,12,High School
2383,12,High School
2386,12,High School
2387,16,4 Yrs College
2388,14,Some College
2389,16,4 Yrs College
2391,14,Some College
2392,9,<High School
2393,18,>4 Yrs College
2394,11,<High School
2396,2,<High School
2397,10,<High School
2404,16,4 Yrs College
2405,12,High School
2406,18,>4 Yrs College
2407,12,High School
2408,12,High School
2411,0,<High School
2416,12,High School
2417,16,4 Yrs College
2418,12,High School
2419,12,High School
2421,12,High School
2422,10,<High School
2424,18,>4 Yrs College
2425,12,High School
2426,12,High School
2433,16,4 Yrs College
2434,16,4 Yrs College
2436,14,Some College
2437,14,Some College
